material_id,material_description,common_id1,primary_material_weight_g,comment,invoice_paid_date,year
MAT-20000,Paracetamol API,CID-0500,2893.84,legacy mapping,2026-11-13,2025
MAT-20001,Monoclonal Antibody Bulk,CID-0501,4707.41,,2024-10-23,2026
MAT-20002,Synthetic Peptide Concentrate,CID-0502,1215.0,legacy mapping,2026-10-26,2024
MAT-20003,Microcrystalline Cellulose,CID-0503,3981.34,,2025-09-14,2026
MAT-20004,Enteric Coating Blend,CID-0504,1853.48,legacy mapping,2024-07-27,2025
MAT-20005,Methylparaben,CID-0505,528.59,legacy mapping,2026-08-23,2024
MAT-20006,Ethanol (Pharma Grade),CID-0506,2178.0,legacy mapping,2026-09-25,2025
MAT-20007,Water for Injection,CID-0507,2324.9,legacy mapping,2025-04-27,2024
MAT-20008,Glass Vial 2ml,CID-0508,1395.36,confirmed 2025 review,2024-08-19,2026
MAT-20009,Alu-Alu Blister Pack,CID-0509,3341.27,legacy mapping,2024-08-28,2025
MAT-20010,Prefilled Syringe 1ml,CID-0510,910.02,,2025-05-11,2025
MAT-20011,HDPE Bottle 100ml,CID-0511,4401.72,legacy mapping,2026-01-17,2024
MAT-20012,Folding Carton,CID-0512,428.98,confirmed 2025 review,2025-09-25,2024
MAT-20013,Patient Information Leaflet,CID-0513,3453.36,confirmed 2025 review,2025-01-03,2025
MAT-20014,Pressure-sensitive Label,CID-0514,1108.76,,2025-11-19,2025
MAT-20015,Corrugated Shipping Case,CID-0515,2366.83,legacy mapping,2025-12-18,2025
MAT-20016,Stretch Pallet Wrap,CID-0516,1759.7,confirmed 2025 review,2025-05-09,2024
MAT-20017,Fermentation Batch Service,CID-0517,604.16,,2025-02-24,2026
MAT-20018,Custom Synthesis Batch,CID-0518,4754.44,,2024-04-24,2025
MAT-20019,Aseptic Fill & Finish Service,CID-0519,1383.22,legacy mapping,2024-04-10,2024
MAT-20020,Contract Packaging Service,CID-0520,1805.04,legacy mapping,2024-12-18,2024
MAT-20021,Inbound Road Freight - Pallet,CID-0521,1372.28,,2026-05-23,2024
MAT-20022,Inbound Air Freight - Temperature Controlled,CID-0522,3189.71,confirmed 2025 review,2024-01-19,2025
MAT-20023,Inbound Ocean Freight - Container,CID-0523,2347.52,confirmed 2025 review,2025-03-02,2025
MAT-20024,Cold Chain Transport - 2-8C,CID-0524,4705.38,confirmed 2025 review,2024-02-13,2025
MAT-20025,Cold Storage - Warehouse Pallet Slot,CID-0525,371.34,,2024-03-26,2026
MAT-20026,Stainless Steel Reactor Component,CID-0526,4745.68,,2024-02-18,2025
MAT-20027,Filling Line Spare Parts,CID-0527,3031.98,,2026-07-15,2025
MAT-20028,HPLC Consumable Kit,CID-0528,1487.47,confirmed 2025 review,2025-10-20,2024
MAT-20029,Lab Reagent Kit,CID-0529,3048.54,,2024-11-07,2025
MAT-20030,Single-use Bioreactor Bag,CID-0530,3302.48,,2024-03-18,2024
MAT-20031,Comparator Drug Batch,CID-0531,783.51,confirmed 2025 review,2025-12-20,2025
MAT-20032,Clinical Trial Kit,CID-0532,1457.01,,2025-12-10,2026
MAT-20033,Paracetamol API,CID-0533,4298.17,,2026-04-09,2026
MAT-20034,Recombinant Protein Concentrate,CID-0534,2949.36,,2025-02-18,2024
MAT-20035,Synthetic Peptide Concentrate,CID-0535,3238.53,legacy mapping,2024-02-02,2024
MAT-20036,Microcrystalline Cellulose,CID-0536,3963.35,legacy mapping,2025-02-15,2026
MAT-20037,Film Coating Powder,CID-0537,1521.15,confirmed 2025 review,2025-09-18,2025
MAT-20038,Methylparaben,CID-0538,2189.36,,2025-12-11,2026
MAT-20039,Ethanol (Pharma Grade),CID-0539,1252.59,,2024-11-27,2026
MAT-20040,Water for Injection,CID-0540,2936.03,,2026-05-19,2024
MAT-20041,Freeze-dried Vaccine Vial,CID-0541,3815.78,,2025-09-21,2025
MAT-20042,Alu-Alu Blister Pack,CID-0542,4580.45,,2026-07-21,2025
MAT-20043,Prefilled Syringe 2.25ml,CID-0543,4845.31,confirmed 2025 review,2025-07-11,2025
MAT-20044,HDPE Bottle 250ml,CID-0544,3351.0,,2025-07-23,2025
MAT-20045,Corrugated Shipping Box,CID-0545,1441.8,confirmed 2025 review,2026-01-15,2024
MAT-20046,Patient Information Leaflet,CID-0546,1573.27,legacy mapping,2024-07-28,2026
MAT-20047,Pressure-sensitive Label,CID-0547,4124.81,,2026-09-15,2025
MAT-20048,Reusable Shipping Tote,CID-0548,271.97,legacy mapping,2026-08-21,2025
MAT-20049,Stretch Pallet Wrap,CID-0549,3800.19,,2025-09-05,2025
MAT-20050,Fermentation Batch Service,CID-0550,2191.14,confirmed 2025 review,2024-01-21,2026
MAT-20051,Custom Synthesis Batch,CID-0551,3996.77,,2025-09-01,2026
MAT-20052,Aseptic Fill & Finish Service,CID-0552,2040.55,,2024-08-04,2026
MAT-20053,Contract Packaging Service,CID-0553,4160.88,confirmed 2025 review,2026-05-17,2026
MAT-20054,Inbound Road Freight - Pallet,CID-0554,1367.85,confirmed 2025 review,2025-04-15,2026
MAT-20055,Inbound Air Freight - Temperature Controlled,CID-0500,724.07,,2026-09-24,2024
MAT-20056,Inbound Ocean Freight - Container,CID-0501,4320.27,legacy mapping,2025-06-26,2026
MAT-20057,Cold Chain Transport - 2-8C,CID-0502,1336.6,,2025-12-10,2026
MAT-20058,Cold Storage - Warehouse Pallet Slot,CID-0503,2900.04,confirmed 2025 review,2024-08-18,2025
MAT-20059,Stainless Steel Reactor Component,CID-0504,1726.27,confirmed 2025 review,2025-06-28,2024
MAT-20060,Filling Line Spare Parts,CID-0505,4903.89,,2026-07-08,2025
MAT-20061,HPLC Consumable Kit,CID-0506,219.19,confirmed 2025 review,2026-07-13,2026
MAT-20062,Lab Reagent Kit,CID-0507,3962.18,,2025-01-05,2026
MAT-20063,Single-use Bioreactor Bag,CID-0508,4826.8,legacy mapping,2024-08-04,2026
MAT-20064,Comparator Drug Batch,CID-0509,4552.3,,2026-03-14,2026
MAT-20065,Clinical Trial Kit,CID-0510,4849.81,,2025-05-11,2026
MAT-20066,Ibuprofen API,CID-0511,3463.83,,2025-11-28,2026
MAT-20067,Recombinant Protein Concentrate,CID-0512,1900.67,legacy mapping,2026-12-25,2025
MAT-20068,Synthetic Peptide Concentrate,CID-0513,4362.04,,2026-02-08,2026
MAT-20069,Microcrystalline Cellulose,CID-0514,3422.31,legacy mapping,2024-12-03,2025
MAT-20070,Film Coating Powder,CID-0515,4891.71,,2025-03-23,2025
MAT-20071,Sodium Benzoate,CID-0516,4517.22,,2025-01-10,2025
MAT-20072,Ethanol (Pharma Grade),CID-0517,1874.83,,2024-09-14,2026
MAT-20073,Water for Injection,CID-0518,3409.32,,2024-03-03,2026
