enriched_l1l2l3_classification,emission_factor_name,eeio_factor_kgco2e_gbp,year
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025,0.2097,2025
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026,0.216,2026
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025,0.1476,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026,0.152,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025,0.2232,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026,0.2299,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2025,0.3887,2025
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026,0.4004,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2025,0.1405,2025
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026,0.1447,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2025,0.2277,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026,0.2345,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.198,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.4797,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.3759,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2025 (Alt Method),0.1245,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.2166,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.1166,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.3548,2024
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.1115,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.1689,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.1086,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.0847,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.3007,2024
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.3961,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.1443,2024
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2025 (Alt Method),0.398,2025
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.3887,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2024 (Alt Method),0.2273,2024
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2024 (Alt Method),0.2634,2024
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.3374,2024
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.1266,2025
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2024 (Alt Method),0.2679,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2025 (Alt Method),0.2316,2025
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.3054,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2024 (Alt Method),0.1951,2024
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2024 (Alt Method),0.2189,2024
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.3112,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.0991,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2025 (Alt Method),0.1615,2025
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2025 (Alt Method),0.1204,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.1815,2026
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2026 (Alt Method),0.2548,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2024 (Alt Method),0.0932,2024
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2025 (Alt Method),0.3541,2025
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),0.2618,2026
Raw Materials - Spend-Based (EEIO),Raw Materials - Spend-Based (EEIO) 2025 (Alt Method),0.4432,2025
Logistics - Spend-Based (EEIO),Logistics - Spend-Based (EEIO) 2025 (Alt Method),0.3788,2025
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.262,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2024 (Alt Method),0.1805,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2026 (Alt Method),0.2785,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2026 (Alt Method),0.2399,2026
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2024 (Alt Method),0.0927,2024
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.132,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.2134,2025
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.3172,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.1567,2024
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025 (Alt Method),0.3632,2025
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2024 (Alt Method),0.1216,2024
Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies - Spend-Based (EEIO) 2025 (Alt Method),0.0681,2025
Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing - Spend-Based (EEIO) 2026 (Alt Method),0.1766,2026
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.1292,2026
Capital Equipment - Spend-Based (EEIO),Capital Equipment - Spend-Based (EEIO) 2025 (Alt Method),0.2049,2025
Packaging Materials - Spend-Based (EEIO),Packaging Materials - Spend-Based (EEIO) 2026 (Alt Method),0.2466,2026
