common_id1,emission_factor_name_historic,co2_emission_factor_current
CID-0500,Air Freight - Industry Average EF,2.1154
CID-0500,Air Freight - Database Default EF,2.2212
CID-0500,Air Freight - Legacy Supplier EF,2.3269
CID-0500,Air Freight - Prior Year EF,2.4327
CID-0501,Analytical Instruments - Database Default EF,7.4491
CID-0501,Analytical Instruments - Industry Average EF,7.8216
CID-0501,Analytical Instruments - Legacy Supplier EF,8.194
CID-0501,Analytical Instruments - Prior Year EF,8.5665
CID-0502,Aqueous Solvents - Legacy Supplier EF,17.1034
CID-0502,Aqueous Solvents - Prior Year EF,17.9586
CID-0502,Aqueous Solvents - Industry Average EF,18.8137
CID-0502,Aqueous Solvents - Database Default EF,19.6689
CID-0503,Binders & Fillers - Prior Year EF,10.0318
CID-0503,Binders & Fillers - Database Default EF,10.5334
CID-0503,Binders & Fillers - Legacy Supplier EF,11.035
CID-0504,Biologic API - Database Default EF,38.1807
CID-0504,Biologic API - Prior Year EF,40.0897
CID-0505,Blister Packs - Database Default EF,3.944
CID-0505,Blister Packs - Industry Average EF,4.1412
CID-0506,Bottles - Database Default EF,2.6437
CID-0506,Bottles - Prior Year EF,2.7759
CID-0506,Bottles - Industry Average EF,2.9081
CID-0506,Bottles - Legacy Supplier EF,3.0403
CID-0507,Cartons - Prior Year EF,4.4306
CID-0507,Cartons - Database Default EF,4.6521
CID-0507,Cartons - Industry Average EF,4.8737
CID-0508,Coatings - Industry Average EF,40.1717
CID-0508,Coatings - Prior Year EF,42.1803
CID-0508,Coatings - Legacy Supplier EF,44.1889
CID-0508,Coatings - Database Default EF,46.1975
CID-0509,Cold Storage - Database Default EF,2.4379
CID-0509,Cold Storage - Industry Average EF,2.5598
CID-0509,Cold Storage - Legacy Supplier EF,2.6817
CID-0510,Comparator Drugs - Industry Average EF,4.0939
CID-0510,Comparator Drugs - Legacy Supplier EF,4.2986
CID-0510,Comparator Drugs - Database Default EF,4.5033
CID-0510,Comparator Drugs - Prior Year EF,4.708
CID-0511,Fermentation Services - Industry Average EF,1.2787
CID-0511,Fermentation Services - Database Default EF,1.3426
CID-0511,Fermentation Services - Prior Year EF,1.4066
CID-0511,Fermentation Services - Legacy Supplier EF,1.4705
CID-0512,Fill & Finish - Industry Average EF,0.7511
CID-0512,Fill & Finish - Prior Year EF,0.7887
CID-0512,Fill & Finish - Database Default EF,0.8262
CID-0513,Filling Lines - Database Default EF,3.8367
CID-0513,Filling Lines - Legacy Supplier EF,4.0285
CID-0513,Filling Lines - Industry Average EF,4.2204
CID-0514,Glass Vials - Industry Average EF,1.3065
CID-0514,Glass Vials - Legacy Supplier EF,1.3718
CID-0515,Labels - Legacy Supplier EF,4.0982
CID-0515,Labels - Prior Year EF,4.3031
CID-0516,Leaflets - Database Default EF,2.3022
CID-0516,Leaflets - Industry Average EF,2.4173
CID-0517,Ocean Freight - Prior Year EF,1.4976
CID-0517,Ocean Freight - Industry Average EF,1.5725
CID-0517,Ocean Freight - Legacy Supplier EF,1.6474
CID-0517,Ocean Freight - Database Default EF,1.7222
CID-0518,Organic Solvents - Industry Average EF,14.8498
CID-0518,Organic Solvents - Database Default EF,15.5923
CID-0518,Organic Solvents - Legacy Supplier EF,16.3348
CID-0518,Organic Solvents - Prior Year EF,17.0773
CID-0519,Packaging Services - Prior Year EF,1.046
CID-0519,Packaging Services - Industry Average EF,1.0983
CID-0519,Packaging Services - Database Default EF,1.1506
CID-0519,Packaging Services - Legacy Supplier EF,1.2029
CID-0520,Pallet Wrap - Database Default EF,0.8196
CID-0520,Pallet Wrap - Legacy Supplier EF,0.8606
CID-0520,Pallet Wrap - Industry Average EF,0.9016
CID-0520,Pallet Wrap - Prior Year EF,0.9425
CID-0521,Peptide API - Legacy Supplier EF,28.2599
CID-0521,Peptide API - Industry Average EF,29.6729
CID-0522,Prefilled Syringes - Prior Year EF,3.0691
CID-0522,Prefilled Syringes - Database Default EF,3.2226
CID-0522,Prefilled Syringes - Legacy Supplier EF,3.376
CID-0523,Preservatives - Legacy Supplier EF,20.7379
CID-0523,Preservatives - Database Default EF,21.7748
CID-0523,Preservatives - Prior Year EF,22.8117
CID-0524,Reactors & Vessels - Industry Average EF,5.4242
CID-0524,Reactors & Vessels - Database Default EF,5.6954
CID-0524,Reactors & Vessels - Prior Year EF,5.9666
CID-0524,Reactors & Vessels - Legacy Supplier EF,6.2378
CID-0525,Reagents - Industry Average EF,4.4175
CID-0525,Reagents - Legacy Supplier EF,4.6384
CID-0525,Reagents - Prior Year EF,4.8593
CID-0526,Refrigerated Transport - Database Default EF,1.4973
CID-0526,Refrigerated Transport - Legacy Supplier EF,1.5722
CID-0526,Refrigerated Transport - Industry Average EF,1.647
CID-0526,Refrigerated Transport - Prior Year EF,1.7219
CID-0527,Road Freight - Industry Average EF,2.0454
CID-0527,Road Freight - Database Default EF,2.1477
CID-0527,Road Freight - Legacy Supplier EF,2.2499
CID-0527,Road Freight - Prior Year EF,2.3522
CID-0528,Shipping Cases - Prior Year EF,3.431
CID-0528,Shipping Cases - Database Default EF,3.6026
CID-0529,Single-use Plasticware - Legacy Supplier EF,1.7095
CID-0529,Single-use Plasticware - Industry Average EF,1.795
CID-0530,Small Molecule API - Industry Average EF,43.7131
CID-0530,Small Molecule API - Database Default EF,45.8988
CID-0530,Small Molecule API - Legacy Supplier EF,48.0844
CID-0531,Synthesis Services - Industry Average EF,2.1296
CID-0531,Synthesis Services - Database Default EF,2.2361
CID-0531,Synthesis Services - Legacy Supplier EF,2.3426
CID-0531,Synthesis Services - Prior Year EF,2.449
CID-0532,Trial Kits - Legacy Supplier EF,1.9813
CID-0532,Trial Kits - Industry Average EF,2.0804
