material_code,material_description,supplier_name,supplier_id,emission_factor_name,ef_kgco2e_per_unit,units_per_kg,weight_per_unit_kg
MAT-20047,Pressure-sensitive Label,Amberline Excipients Ltd,SUP-10037,Pressure-sensitive Label EF - Amberline Excipients Ltd,597.6411,,
MAT-20146,Pressure-sensitive Label,Solara Manufacturing Co.,SUP-10017,Pressure-sensitive Label EF - Solara Manufacturing Co.,51.1141,2.7791,4.961
MAT-20044,HDPE Bottle 250ml,Amberline Logistics,SUP-10005,HDPE Bottle 250ml EF - Amberline Logistics,618.1275,2.0217,
MAT-20112,Patient Information Leaflet,Trueform Polymer Group,SUP-10025,Patient Information Leaflet EF - Trueform Polymer Group,569.9983,0.7889,
MAT-20017,Fermentation Batch Service,Trueform Industries,SUP-10029,Fermentation Batch Service EF - Trueform Industries,419.9509,0.6338,3.7326
MAT-20017,Fermentation Batch Service,Trueform Industries,SUP-10029,Fermentation Batch Service EF - Trueform Industries,80.404,,0.6562
MAT-20041,Freeze-dried Vaccine Vial,Ridgeline Glass Works,SUP-10011,Freeze-dried Vaccine Vial EF - Ridgeline Glass Works,108.949,1.6162,3.312
MAT-20014,Pressure-sensitive Label,Meridian Labs,SUP-10033,Pressure-sensitive Label EF - Meridian Labs,839.1689,,3.6511
MAT-20014,Pressure-sensitive Label,Meridian Labs,SUP-10033,Pressure-sensitive Label EF - Meridian Labs,33.417,1.5786,2.6854
MAT-20084,Custom Synthesis Batch,Ridgeline Glass Works,SUP-10011,Custom Synthesis Batch EF - Ridgeline Glass Works,585.5988,1.2537,0.7567
MAT-20084,Custom Synthesis Batch,Ridgeline Glass Works,SUP-10011,Custom Synthesis Batch EF - Ridgeline Glass Works,706.5224,,
MAT-20063,Single-use Bioreactor Bag,Cascade Labs,SUP-10001,Single-use Bioreactor Bag EF - Cascade Labs,562.851,,0.0536
MAT-20063,Single-use Bioreactor Bag,Cascade Labs,SUP-10001,Single-use Bioreactor Bag EF - Cascade Labs,598.4646,0.8753,
MAT-20119,Contract Packaging Service,Ferrolux Manufacturing Co.,SUP-10008,Contract Packaging Service EF - Ferrolux Manufacturing Co.,756.0082,2.2516,4.8387
MAT-20134,Synthetic Peptide Concentrate,Clarion Industries,SUP-10024,Synthetic Peptide Concentrate EF - Clarion Industries,729.4371,0.5031,3.5812
MAT-20127,HPLC Consumable Kit,PharmaPak Labs,SUP-10036,HPLC Consumable Kit EF - PharmaPak Labs,115.4702,1.7414,
MAT-20028,HPLC Consumable Kit,Corex Materials Ltd,SUP-10006,HPLC Consumable Kit EF - Corex Materials Ltd,872.0001,,
MAT-20054,Inbound Road Freight - Pallet,Atlas Polymer Group,SUP-10027,Inbound Road Freight - Pallet EF - Atlas Polymer Group,494.7705,1.4684,0.6604
MAT-20125,Stainless Steel Reactor Component,Cascade Labs,SUP-10001,Stainless Steel Reactor Component EF - Cascade Labs,847.3672,2.4463,
MAT-20083,Fermentation Batch Service,Cascade Materials Ltd,SUP-10030,Fermentation Batch Service EF - Cascade Materials Ltd,380.2716,0.9049,
MAT-20035,Synthetic Peptide Concentrate,Clarion Materials Ltd,SUP-10031,Synthetic Peptide Concentrate EF - Clarion Materials Ltd,54.372,0.6538,4.8203
MAT-20132,Paracetamol API,Atlas Polymer Group,SUP-10027,Paracetamol API EF - Atlas Polymer Group,775.7817,,
MAT-20132,Paracetamol API,Atlas Polymer Group,SUP-10027,Paracetamol API EF - Atlas Polymer Group,113.9219,,4.5066
MAT-20062,Lab Reagent Kit,Cascade Glass Works,SUP-10021,Lab Reagent Kit EF - Cascade Glass Works,235.0296,2.5694,3.2138
MAT-20033,Paracetamol API,Ferrolux Glass Works,SUP-10014,Paracetamol API EF - Ferrolux Glass Works,29.2414,,
MAT-20038,Methylparaben,Atlas Fine Chemicals,SUP-10023,Methylparaben EF - Atlas Fine Chemicals,860.9345,2.421,2.1217
MAT-20038,Methylparaben,Atlas Fine Chemicals,SUP-10023,Methylparaben EF - Atlas Fine Chemicals,708.1769,1.4272,3.8941
MAT-20007,Water for Injection,Cascade Excipients Ltd,SUP-10022,Water for Injection EF - Cascade Excipients Ltd,256.6107,2.8644,
MAT-20025,Cold Storage - Warehouse Pallet Slot,Corex Materials Ltd,SUP-10006,Cold Storage - Warehouse Pallet Slot EF - Corex Materials Ltd,753.1095,,0.5617
MAT-20145,Patient Information Leaflet,Quantum Excipients Ltd,SUP-10035,Patient Information Leaflet EF - Quantum Excipients Ltd,692.2643,1.7855,
MAT-20101,Synthetic Peptide Concentrate,Cascade Labs,SUP-10001,Synthetic Peptide Concentrate EF - Cascade Labs,498.5036,,3.8196
MAT-20101,Synthetic Peptide Concentrate,Cascade Labs,SUP-10001,Synthetic Peptide Concentrate EF - Cascade Labs,81.0736,,2.7264
MAT-20046,Patient Information Leaflet,Meridian Labs,SUP-10033,Patient Information Leaflet EF - Meridian Labs,731.1213,1.6194,
MAT-20050,Fermentation Batch Service,Cascade Labs,SUP-10001,Fermentation Batch Service EF - Cascade Labs,876.7836,1.6586,
MAT-20093,Filling Line Spare Parts,Ridgeline International,SUP-10002,Filling Line Spare Parts EF - Ridgeline International,407.7215,,1.1537
MAT-20093,Filling Line Spare Parts,Ridgeline International,SUP-10002,Filling Line Spare Parts EF - Ridgeline International,71.8288,,1.812
MAT-20135,Microcrystalline Cellulose,Meridian Labs,SUP-10033,Microcrystalline Cellulose EF - Meridian Labs,442.8806,,0.5799
MAT-20092,Stainless Steel Reactor Component,Everline Industries,SUP-10012,Stainless Steel Reactor Component EF - Everline Industries,15.7849,1.3723,3.3851
